科目代码,科目名称,借贷,类别,辅助核算,匹配方法,匹配方法说明,辅助核算是否必要,名称是否允许字面不一致,资产负债表,利润表,报表归属说明,是否直接影响利润表,是否直接影响资产负债表
530104,盘盈收益,贷,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
530105,汇兑收益,贷,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
530106,出租包装物和商品的租金收入,贷,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
530107,逾期未退包装物押金收益,贷,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
530108,确实无法偿付的应付款项,贷,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
530109,已作坏账损失处理后又收回的应收款项,贷,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
530110,违约金收益,贷,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
5401,主营业务成本,借,损益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,否,是,收入类科目，用于利润表,是,否
5402,其他业务成本,借,损益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,否,是,收入类科目，用于利润表,是,否
5403,税金及附加,借,损益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,否,是,收入类科目，用于利润表,是,否
540301,消费税,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
540302,营业税,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
540303,城市维护建设税,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
540304,资源税,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
540305,土地增值税,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
540306,城镇土地使用税,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
540307,房产税,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
540308,车船税,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
540309,印花税,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
540310,教育费附加,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
540311,矿产资源补偿费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
540312,排污费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
540313,地方教育费附加,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
5601,销售费用,借,损益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,否,是,收入类科目，用于利润表,是,否
5602,管理费用,借,损益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,否,是,收入类科目，用于利润表,是,否
560201,开办费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560202,折旧费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560203,修理费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560204,办公费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560205,水电费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560206,差旅费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560207,职工薪酬,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560208,业务招待费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560209,研究费用,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560210,技术服务费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560211,长期待摊费用摊销,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560212,保险费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560213,运输费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560214,咨询费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560215,代理费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560216,福利费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560217,交通费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560218,通讯费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560219,服务费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560220,快递物流费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560221,房租,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560222,车辆使用费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560223,物料消耗,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560224,劳务费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560299,其他,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
5603,财务费用,借,损益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,否,是,收入类科目，用于利润表,是,否
560301,利息费用,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560302,汇兑损失,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560303,手续费,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560304,现金折扣,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
560399,其他,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
5711,营业外支出,借,损益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,否,是,收入类科目，用于利润表,是,否
571101,存货的盘亏、毁损、报废损失,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
571102,非流动资产处置净损失,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
571103,坏账损失,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
571104,无法收回的长期债券投资损失,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
571105,无法收回的长期股权投资损失,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
571106,自然灾害等不可抗力因素造成的损失,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
571107,税收滞纳金、罚金、罚款,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
571108,被没收财物的损失,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
571109,捐赠支出,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
571110,赞助支出,借,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
5801,所得税费用,借,损益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,否,是,收入类科目，用于利润表,是,否
